Invoice	StockCode	Description	Quantity	InvoiceDate	Price	Customer ID	Country
555524	22698	PINK REGENCY TEACUP AND SAUCER	1	2011-06-05 11:37:00	2.95	16923.0	United Kingdom
555524	22698	PINK REGENCY TEACUP AND SAUCER	1	2011-06-05 11:37:00	2.95	16923.0	United Kingdom
555524	22698	PINK REGENCY TEACUP AND SAUCER	1	2011-06-05 11:37:00	2.95	16923.0	United Kingdom
555524	22698	PINK REGENCY TEACUP AND SAUCER	1	2011-06-05 11:37:00	2.95	16923.0	United Kingdom
555524	22698	PINK REGENCY TEACUP AND SAUCER	1	2011-06-05 11:37:00	2.95	16923.0	United Kingdom
555524	22698	PINK REGENCY TEACUP AND SAUCER	1	2011-06-05 11:37:00	2.95	16923.0	United Kingdom
555524	22698	PINK REGENCY TEACUP AND SAUCER	1	2011-06-05 11:37:00	2.95	16923.0	United Kingdom
555524	22698	PINK REGENCY TEACUP AND SAUCER	1	2011-06-05 11:37:00	2.95	16923.0	United Kingdom
555524	22698	PINK REGENCY TEACUP AND SAUCER	1	2011-06-05 11:37:00	2.95	16923.0	United Kingdom
555524	22698	PINK REGENCY TEACUP AND SAUCER	1	2011-06-05 11:37:00	2.95	16923.0	United Kingdom
555524	22698	PINK REGENCY TEACUP AND SAUCER	1	2011-06-05 11:37:00	2.95	16923.0	United Kingdom
555524	22698	PINK REGENCY TEACUP AND SAUCER	1	2011-06-05 11:37:00	2.95	16923.0	United Kingdom
555524	22698	PINK REGENCY TEACUP AND SAUCER	1	2011-06-05 11:37:00	2.95	16923.0	United Kingdom
555524	22698	PINK REGENCY TEACUP AND SAUCER	1	2011-06-05 11:37:00	2.95	16923.0	United Kingdom
555524	22698	PINK REGENCY TEACUP AND SAUCER	1	2011-06-05 11:37:00	2.95	16923.0	United Kingdom
555524	22698	PINK REGENCY TEACUP AND SAUCER	1	2011-06-05 11:37:00	2.95	16923.0	United Kingdom
555524	22698	PINK REGENCY TEACUP AND SAUCER	1	2011-06-05 11:37:00	2.95	16923.0	United Kingdom
555524	22698	PINK REGENCY TEACUP AND SAUCER	1	2011-06-05 11:37:00	2.95	16923.0	United Kingdom
555524	22698	PINK REGENCY TEACUP AND SAUCER	1	2011-06-05 11:37:00	2.95	16923.0	United Kingdom
555524	22698	PINK REGENCY TEACUP AND SAUCER	1	2011-06-05 11:37:00	2.95	16923.0	United Kingdom
